Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
gru_h128_l1,48,24,56961,5,59.70 ± 1.53,37.06 ± 0.67,0.581 ± 0.021,0.1907 ± 0.0207
lstm_h32_l2,168,24,15137,5,59.74 ± 1.66,37.52 ± 0.58,0.580 ± 0.023,0.1901 ± 0.0225
gru_h32_l2,24,24,11361,5,59.88 ± 2.17,37.49 ± 0.95,0.578 ± 0.031,0.1882 ± 0.0294
gru_h32_l1,168,24,5025,5,59.92 ± 1.01,37.08 ± 0.48,0.578 ± 0.014,0.1877 ± 0.0137
gru_h32_l2,168,24,11361,5,60.43 ± 1.66,37.59 ± 0.92,0.571 ± 0.024,0.1807 ± 0.0225
gru_h32_l2,48,24,11361,5,60.67 ± 1.84,37.77 ± 0.93,0.567 ± 0.026,0.1775 ± 0.0250
dlinear,168,24,6050,5,65.35 ± 0.96,41.15 ± 0.54,0.498 ± 0.015,0.1141 ± 0.0131
nlinear,168,24,3027,5,66.03 ± 2.01,41.78 ± 2.32,0.487 ± 0.032,0.1049 ± 0.0272
dlinear,24,24,866,5,66.40 ± 1.50,41.54 ± 0.96,0.482 ± 0.023,0.0998 ± 0.0203
dlinear,48,24,1730,5,66.82 ± 1.61,41.94 ± 1.00,0.475 ± 0.026,0.0941 ± 0.0218
nlinear,48,24,867,5,69.83 ± 1.12,43.05 ± 0.67,0.427 ± 0.018,0.0533 ± 0.0152
nlinear,24,24,435,5,79.68 ± 2.63,46.50 ± 0.92,0.253 ± 0.050,-0.0802 ± 0.0357
