model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l2,24,3,7,18849,47.4567148743038,25.933924280355104,0.7456707041211872,35.941377883336564,-12.171171797831969,3939,-0.11921414755679582
gru_h32_l2,24,3,31415,18849,45.608009612780506,24.623060926974148,0.765099854924981,34.264593676946625,-8.541500245782629,3939,-0.07561447807187949
gru_h32_l2,24,6,42,18849,60.7851079678289,35.88803752306833,0.5841883499278624,47.74156625470584,-14.082133549388855,3921,-0.008480621726181248
gru_h32_l2,24,6,1337,18849,62.952143364224185,36.67019745662916,0.5540118589036651,48.03318224469027,-14.435887011802,3921,-0.04443372400603596
gru_h32_l2,24,6,2024,18849,61.089158957312186,35.45014667044821,0.580018113230029,46.93455241116305,-11.937306112807974,3921,-0.01352510615932312
gru_h32_l2,24,6,7,18849,61.16367411431881,36.21838610550196,0.5789929197836265,48.030953155257805,-13.28310857344611,3921,-0.014761380871639807
gru_h32_l2,24,6,31415,18849,61.768259511988354,36.337621028161905,0.5706287154358916,47.95390581439744,-12.629696951647329,3921,-0.024792006432937663
gru_h32_l2,24,12,42,18849,73.79605329445418,47.12663133347679,0.3918235642807235,61.87045942520971,-18.255323629927908,3885,0.053891508991060655
gru_h32_l2,24,12,1337,18849,73.47242977904668,47.1702857262186,0.39714603403260773,62.29402128297431,-18.11703258362822,3885,0.05804055141471842
gru_h32_l2,24,12,2024,18849,77.17244472783304,48.96883700750997,0.3348986426502304,62.79695446168475,-21.749142226724253,3885,0.010604199419863791
gru_h32_l2,24,12,7,18849,74.25620009766943,47.49607342883743,0.38421548992498,61.61868171372852,-16.96373219136094,3885,0.04799215830498149
gru_h32_l2,24,12,31415,18849,79.4840773502202,50.21520808663606,0.29445683002570733,63.660826616364076,-20.89769416654699,3885,-0.019032280506876553
gru_h32_l2,24,24,42,18849,98.09224871589537,65.69079561920158,-0.05757595030476437,84.34552997039158,-24.431938984771627,3813,-0.008227641706157085
gru_h32_l2,24,24,1337,18849,95.12227389935754,64.06514664906616,0.005495775999763142,82.50802679024721,-17.249056993832507,3813,0.022298834589409622
gru_h32_l2,24,24,2024,18849,91.24673737415175,60.897186849974034,0.08488247072778421,78.02635305837015,-25.374807952837795,3813,0.062133001940097854
gru_h32_l2,24,24,7,18849,94.31896903261955,62.757051020277636,0.02222196953225175,81.05259019591558,-24.656877741535997,3813,0.030555492806187634
gru_h32_l2,24,24,31415,18849,92.56286535218857,60.86680833249243,0.058293072850888805,78.22683309268787,-29.36628846913678,3813,0.0486053621433713
gru_h32_l2,48,1,42,18849,25.678475530650807,12.709100288084509,0.9253962949843104,21.54082955933612,-2.3624911913862507,3951,-0.20674131849139266
gru_h32_l2,48,1,1337,18849,25.384740591607684,12.578079994297308,0.9270933100360959,21.377160408633486,-3.594822298149314,3951,-0.19293745824257114
gru_h32_l2,48,1,2024,18849,25.018335728475805,12.61509402500778,0.9291827995467581,21.520733626323974,-4.263044211746712,3951,-0.17571852765965357
